Source,Biomarker,Gender,Age (Low),Age (High),Female (Phases),Time of Day,Reference Low (TC),Optimal Low,Optimal High,Reference High (TC),Units,Loinc Code,Report Type
Whole blood,Mercury,Unisex,,,,,0,0,5,5,µg/L,5685-5,Blood
Whole blood,Methionine,Unisex,,,,,11,22,33,44,nmol/ml,,Metabolomics
Whole blood,Nickel,Unisex,,,,,0,0,2,15,µg/L,5686-3,Blood
Whole blood,Phenylalanine,Unisex,,,,,33,54.33,75.67,97,nmol/ml,,Metabolomics
Whole blood,Platelet Count,Unisex,,,,,150,190,300,410,X 10³/µL,777-3,Blood
Whole blood,Proline,Unisex,,,,,97,187.33,277.67,368,nmol/ml,,Metabolomics
Serum,Protein - Total,Unisex,,,,,5.7,6.5,8,8.2,gm/dL,2885-2,Blood
Whole blood,Red Cell Distribution Width - CV (RDW-CV),Unisex,,,,,11.6,11.5,13,14,%,788-0,Blood
Whole blood,Selenium,Unisex,,,,,60,70.00,121.00,340,µg/L,5706-9,Blood
Whole blood,Serine,Unisex,,,,,63,104,145,187,nmol/ml,,Metabolomics
Serum,Serum Zinc,Unisex,,,,,52,99,130,286,µg/dL,17638-3,Blood
Serum,Sodium,Unisex,,,,,136,137,142,145,mmol/L,2951-2,Blood
Whole blood,Taurine,Unisex,,,,,46,79.33,112.67,146,nmol/ml,,Metabolomics
Serum,Testosterone,Male,,,,,260,700,1100,1000,ng/dL,2986-8,Blood
Serum,Testosterone,Female,,,,,15,35,45,70,ng/dL,2986-8,Blood
Whole blood,Threonine,Unisex,,,,,85,133.67,182.33,231,nmol/ml,,Metabolomics
Serum,Total Cholesterol,Unisex,,,,,0,160,199,200,mg/dL,2093-3,Blood
Serum,Total Iron Binding Capacity (TIBC),Male,,,,,225,250,350,535,µg/dL,2500-7,Blood
Serum,Total Thyroxine (T4),Unisex,,,,,4.87,6.00,11.90,11.72,µg/dL,3026-8,Blood
Serum,Total Triiodothyronine (T3),Unisex,,,,,58,90.00,168.00,159,ng/dL,3053-2,Blood
Serum,Triglycerides,Unisex,,,,,0,70,80,150,mg/dL,2571-8,Blood
Whole blood,Tryptophan,Unisex,,,,,29,45,61,77,nmol/ml,,Metabolomics
Serum,TSH - Ultrasensitive,Unisex,,,,,0.35,1.88,3.41,4.94,µIU/mL,11580-8,Blood
Serum,Uric Acid,Male,,,,,4.2,3.5,5.4,7.3,mg/dL,3084-1,Blood
Serum,Uric Acid,Female,,,,,4.2,3,4.7,7.3,mg/dL,3084-1,Blood
Serum,Vitamin A,Male,18,150,,,300,570,660,800,ng/mL,14834-3,Blood
Serum,Vitamin B-12,Unisex,,,,,187,545,1100,883,pg/mL,2132-3,Blood
Serum,Vitamin B9/Folic Acid,Unisex,,,,,0.2,15.00,27.00,20,ng/mL,2284-2,Blood
Calculated from serum,Vitamin D Total,Unisex,,,,,30,50,90,100,ng/mL,62292-8,Blood
Serum,Vitamin E,Unisex,,,,,5500,7400,30600,18000,ng/mL,14591-7,Blood
Whole blood,Valine,Unisex,,,,,136,193.67,251.33,309,nmol/ml,,Metabolomics
